NAME,PRICE,CUISINE_CATEGORY,CITY,REGION,URL,PAGE NO,OUTLET_TYPE,TIMING,REVIEWS,RATING,VOTES
Hitchki,1200.0,"Modern Indian,North Indian,Chinese,Momos,Biryani,Continental,American,Fast Food",Mumbai,Bandra,https://www.zomato.com/mumbai/hitchki-bandra-kurla-complex/info,1,Casual Dining,12noon to 130am(Mon-Sun),Excellent,4.9,3529.0
Baba Falooda,400.0,"Desserts,Ice Cream,Beverages",Mumbai,Mahim,https://www.zomato.com/mumbai/baba-falooda-mahim/info,1,Dessert Parlor,2pm to 1am(Mon-Sun),Very Good,4.4,1723.0
Chin Chin Chu,1800.0,"Asian,Chinese",Mumbai,Juhu,https://www.zomato.com/mumbai/chin-chin-chu-juhu/info,1,Casual Dining,12noon to 1am(Mon-Sun),Very Good,4.2,337.0
Butterfly High,1000.0,Modern Indian,Mumbai,Bandra,https://www.zomato.com/mumbai/butterfly-high-bandra-kurla-complex/info,1,Bar,12noon to 130am(Mon-Sun),Very Good,4.3,1200.0
BKC  DIVE,1200.0,"North Indian,Chinese,Continental",Mumbai,Bandra,https://www.zomato.com/mumbai/bkc-dive-bandra-kurla-complex/info,1,Bar,1130am to 1am(Mon-Sun),Very Good,4.4,5995.0
Flea Bazaar Café,800.0,"American,Asian,Street Food,North Indian,Lucknowi,Mexican,Chinese,Italian",Mumbai,Lower Parel,https://www.zomato.com/fleabazaarcafe/info,1,Café,12noon to 1am(Mon-Sun),Very Good,4.2,2042.0
Persian Darbar,1300.0,"Biryani,North Indian,Chinese,Mughlai",Mumbai,Marol,https://www.zomato.com/mumbai/persian-darbar-marol/info,1,Casual Dining,10am to 3am(Mon-Sun),Excellent,4.5,3058.0
Tanatan,1500.0,Modern Indian,Mumbai,Juhu,https://www.zomato.com/mumbai/tanatan-juhu/info,1,Casual Dining,12noon to 130am(Mon-Sun),Excellent,4.7,1842.0
Cafe Safar,600.0,"Chinese,North Indian,Biryani",Mumbai,Andheri,https://www.zomato.com/mumbai/cafe-safar-oshiwara/info,1,Casual Dining,11am to 1am(Mon-Sun),Very Good,4.0,2797.0
Plum by Bent Chair,1800.0,Asian,Mumbai,Lower Parel,https://www.zomato.com/mumbai/plum-by-bent-chair-lower-parel/info,1,Casual Dining,12noon to 1am(Mon-Sun),Excellent,4.7,1876.0
Angrezi Dhaba,1500.0,"North Indian,Chinese,Thai,European",Mumbai,Dadar,https://www.zomato.com/mumbai/angrezi-dhaba-1-dadar-west/info,1,Bar,12noon to 1am(Mon-Sun),Excellent,4.5,2092.0
Raasta,1200.0,"Continental,Seafood,Fast Food,Desserts,Italian,Finger Food",Mumbai,Khar,https://www.zomato.com/mumbai/raasta-khar/info,1,Casual Dining,12noon to 1am(Mon-Sun),Very Good,4.0,3191.0
Todi Mill Social,1400.0,"American,North Indian,Chinese,Fast Food,Continental,Asian,Beverages",Mumbai,Lower Parel,https://www.zomato.com/TodiMillSocial/info,1,Bar,"9am to 1am(Mon),9am to 130am(Tue-Sun)",Excellent,4.6,5805.0
Burn - Bar & Kitchen,1100.0,"Continental,Mexican,Italian,Chinese",Mumbai,Bandra,https://www.zomato.com/mumbai/burn-bar-kitchen-bandra-kurla-complex/info,1,Bar,"1130am to 5am(Mon),1130am to 130am(Tue,Wed...",Very Good,4.1,1510.0
145 Bandra,1300.0,"Mexican,American,Desserts,European,Modern Indian",Mumbai,Bandra,https://www.zomato.com/mumbai/145-bandra-pali-hill-bandra-west/info,1,Bar,12noon to 130am(Mon-Sun),Very Good,4.2,1552.0
Cafe Zoe,2000.0,"European,Italian,Burger,Salad,Healthy Food",Mumbai,Lower Parel,https://www.zomato.com/mumbai/cafe-zoe-lower-parel/info,10,Casual Dining,730am to 130am(Mon-Sun),Very Good,4.1,3283.0
Ustaadi,1200.0,"Asian,Biryani,Chinese,North Indian,Mughlai,Middle Eastern",Mumbai,Mumbai Central,https://www.zomato.com/mumbai/ustaadi-cst/info,10,Casual Dining,"12noon to 4pm,7pm to 4am(Mon-Sun)",Very Good,4.3,1088.0
Cafe Maaz,350.0,"Chinese,North Indian,Mughlai,Biryani,Seafood",Mumbai,Bhandup,https://www.zomato.com/mumbai/cafe-maaz-bhandup/info,10,Quick Bites,8am to 1230AM(Mon-Sun),Very Good,4.0,881.0
Carter's Blue,900.0,"North Indian,Lebanese,Fast Food,Chinese",Mumbai,Malad,https://www.zomato.com/mumbai/carters-blue-malad-west/info,10,Casual Dining,12noon to 1230AM(Mon-Sun),Good,3.9,898.0
Rajasthan,700.0,"North Indian,Mughlai,Chinese,Fast Food",Mumbai,Khar,https://www.zomato.com/mumbai/rajasthan-khar/info,10,Casual Dining,12noon to 1am(Mon-Sun),Good,3.8,688.0
Harry's Bar + Cafe,1500.0,"Asian,Mexican,American",Mumbai,Powai,https://www.zomato.com/mumbai/harrys-bar-cafe-powai/info,10,Casual Dining,"Closed(Mon),12noon to 130am(Tue-Sun)",Very Good,4.0,1967.0
New Ajwa Family Restaurant,500.0,"North Indian,Chinese,Mughlai,Kebab,Desserts",Mumbai,Marol,https://www.zomato.com/mumbai/new-ajwa-family-restaurant-marol/info,10,Casual Dining,10am to 4am(Mon-Sun),Very Good,4.4,316.0
Singh Saab,1600.0,"North Indian,Asian",Mumbai,Chembur,https://www.zomato.com/mumbai/singh-saab-chembur/info,10,Casual Dining,"12noon to 3pm,7pm to 1230AM(Mon-Sun)",Excellent,4.5,2214.0
Kasbah Grand,1400.0,"North Indian,Mughlai,Chinese,Thai,Seafood",Mumbai,Goregaon,https://www.zomato.com/mumbai/kasbah-grand-goregaon-west/info,10,Casual Dining,"12noon to 130am(Mon-Fri),12noon to 3am(Sat-Sun)",Very Good,4.0,2280.0
Elementaria Bakery Cafe,800.0,"Cafe,Desserts,Sandwich",Mumbai,Lower Parel,https://www.zomato.com/mumbai/elementaria-bakery-cafe-lower-parel/info,10,Café,10am to 130am(Mon-Sun),Very Good,4.1,693.0
Angrezi Patiyalaa,1200.0,"North Indian,Finger Food,American,Mexican,Chinese",Mumbai,Andheri,https://www.zomato.com/mumbai/angrezi-patiyalaa-andheri-lokhandwala/info,10,Casual Dining,12noon to 1230AM(Mon-Sun),Excellent,4.5,271.0
Door No.1,1500.0,"Asian,Italian,North Indian,Finger Food",Mumbai,Bandra,https://www.zomato.com/mumbai/door-no-1-reclamation-bandra-west/info,10,Casual Dining,11am to 1am(Mon-Sun),Very Good,4.4,870.0
Natural Ice Cream,150.0,"Desserts,Ice Cream",Mumbai,Vile Parle,https://www.zomato.com/mumbai/natural-ice-cream-vile-parle-east/info,10,Dessert Parlor,11am to 1am(Mon-Sun),Very Good,4.3,621.0
Punjab Grill,2000.0,"North Indian,Mughlai,Beverages",Mumbai,Lower Parel,https://www.zomato.com/mumbai/punjab-grill-lower-parel/info,10,Casual Dining,12noon to 1am(Mon-Sun),Very Good,4.4,3376.0
Locco Eatery & Bar,1400.0,"North Indian,Continental,Lebanese,Italian",Mumbai,CBD Belapur,https://www.zomato.com/mumbai/locco-eatery-bar-cbd-belapur-navi-mumbai/info,10,Bar,12noon to 130am(Mon-Sun),Very Good,4.3,424.0
Breadkart,400.0,Fast Food,Mumbai,Borivali,https://www.zomato.com/mumbai/breadkart-borivali-west/info,100,Quick Bites,4pm to 230am(Mon-Sun),Good,3.6,38.0
The Lemon Grass,300.0,"North Indian,Chinese",Mumbai,Vasai,https://www.zomato.com/mumbai/the-lemon-grass-2-vasai/info,100,Quick Bites,"12noon to 330pm,430pm to 2am(Mon-Sun)",Average,3.4,33.0
